,,,FALSE,TRUE,,Digital Address check,,,Instant,INR ₹200
,Education Checks,Highest Education*,TRUE,TRUE,No,User Upload,BGV Partner,3 Partners,T + 14 days,INR ₹500
,Employment Checks,Employment & Conduct (Per check) - Last 7 years (Current + Previous) ,TRUE,TRUE,No,User Upload,BGV Partner,3 Partners,T + 14 days,"INR ₹2,000"
,,Self-Employment Check                             (Via Business PAN),FALSE,TRUE,No,Fetch by PAN, sole proprietorship or partnership,5 Data Partners,Instant,INR ₹100
,,PF UAN Advanced,TRUE,TRUE,No, Fetch by Phone number,EPFO,4 Partners,Instant,INR ₹100
,,CV Validation,TRUE,TRUE,No,User Upload,BGV Partner,5 BGV Partners,T + 7 days,INR ₹250
,,Directorship Check,FALSE,TRUE,No,Fetch by PAN,NSDL,5 Data Partners,Instant,INR ₹50
,,Right to Work (Govt ID),FALSE,TRUE,Yes,Fetch by Valid India Govt. ID,Govt ID,6 Data Partners,Instant,INR ₹60
,Professional Checks,Professional Reference Check,FALSE,TRUE,No,User Upload,BGV Partner,5 BGV Partners,T + 14 days,INR ₹300
Monthly Onboarding Scale,,,TBD,TBD,,,,,,
Price per Onboard,,,"4,505","6,265",,,,,,
Overall price per Onboard Per Month,,,-,-,,,,,,
,Value-added Services,,,,,,,,,
Value-added Services  ,,Equal Console,TRUE,TRUE,Equal console access shall be provided for end-end visibility on candidate status,,,,,
,,Equal Gateway instances,TRUE,TRUE,Equal will provide unique gateway instances configuring the BGV checks for each flows ,,,,,
,,Equal CRM,TRUE,TRUE,Equal could automate the candidate document collection process with automated outreaches via messages / calls / Whatsapp ,,,,,
,,Equal Reporting,TRUE,TRUE,Equal shall provide outreach logs for audit purpose   ,,,,,
,,Business Rule Engine,TRUE,TRUE,Equal will provide insights on the BGV reports based on business logic provided by Merchant,,,,,
,,Routing Engine,TRUE,TRUE,Equal wil dynamically route request between partners for higher success rate ,,,,,
Insights,,ID Verification Insights,TRUE,TRUE,"Equal will provide name mismatch insights from Aadhaar verified output to PAN, BANK, & EPFO verified data",,,,,
,,Address Insights,TRUE,TRUE,Equal will provide Address insights with google lat+long capture coordinates and uploaded utility bill information ,,,,,
,,Employment Insights,TRUE,TRUE,"Equal shall provide insights based on EPFO data on Alternate employment, Business, Employment history gaps",,,,,
,,Income / Payslip Insights,FALSE,TRUE,"Equal shall provide income insights based on Payslip & Bank Statement - POI & POO, Document tampering, Salary mismatch insights & Company existance insights ",,,,,
,,Legal Insights,TRUE,TRUE,"Equal shall provide legal case history with Name of petitioner, respondant, & case status insights ",,,,,
Aggregator Services,,Partner Network Optimisation,TRUE,TRUE,Equal will constantly be optimising our partner network for higher success rate for every module opted ,,,,,
,,Partner Additions,TRUE,TRUE,Equal will add more reliable partners for every module who has best-in-class network uptime with higher throughput ,,,,,
,,Cloud Optimisation,TRUE,TRUE,Equal will leverage Amazon cloud infrastructure CDN services for higher network availability,,,,,
,,Cloud Security,TRUE,TRUE,Equal will leverage highest level of cyber security mesures enabling zero trust security architecture,,,,,
Set-up Fee + Integration cost (One time Fee),,,,,,"INR ₹1,000,000",,,,
Value-added Service paid yearly once (Prepay Annual),,,,,,"INR ₹1,200,000",,,,
Payment terms,,,,,,Pre-pay quarterly Invoice,,,,
*A minor % of Education verification may incur an additional challan cost that's charged by the Universities at the time of verifications - this charge will be passed on at actuals ,,,,,,,,,,
,"* X,XII,Degree,PG,Diploma and any other level of education will be per check.",,,,,,,,,
*All prices are exclusive of applicable taxes,,,,,,,,,,
,,,Scale ,500,42,,,,,
,,,,Year,Month,,,,,
,,,,"INR ₹2,500,000",5000,,,,,
